properties.address_line1,properties.address_line2,properties.categories
Jackson Soul Food,"950 Northwest 3rd Avenue, Miami, FL 33136, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Au Bon Pain,"1001 Baywalk, Miami, FL 33131, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Cvltvra,"Northeast 11th Street, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Crust,"668 Northwest 5th Street, Miami, FL 33128, United States of America","['catering', 'catering.restaurant']"
PIOLA BRICKELL,"1250 South Miami Avenue, Miami, FL 33130, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
Presidente Supermarket,"504 Southwest 8th Street, Miami, FL 33130, United States of America","['commercial', 'commercial.supermarket']"
China Lee,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
The Arketekt by Aficionados,"1200 Brickell Bay Drive, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Publix,"Southwest 13th Street, Miami, FL 33131, United States of America","['building', 'building.commercial', 'commercial', 'commercial.supermarket']"
Vapiano,"Southeast 13th Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.italian']"
Paperfish Sushi,"1421 South Miami Avenue, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
The Café at Books and Books,"1300 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Verde,"1103 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Lil Greenhouse Grill,"1300 Northwest 3rd Avenue, Miami, FL 33136, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Perricone's Marketplace & Cafe,"1700 Southwest 3rd Avenue, Miami, FL 33129, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Havana 1957 Cuban Cuisine Brickell,"South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Little Caesars,"827 Southwest 8th Avenue, Miami, FL 33130, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.pizza']"
Subway,"Northeast 15th Street, Miami, FL 33132, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
McDonald's,"1016 West Flagler Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Southwest 1st Avenue,"Miami, FL 33129, United States of America","['commercial', 'commercial.supermarket']"
Publix,"Southwest 1st Avenue, Miami, FL 33129, United States of America","['commercial', 'commercial.supermarket']"
Cafe La Trova,"971 Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Checkers,"1650 Biscayne Boulevard, Miami, FL 33132, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Taco Bell,"966 Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food']"
Mike's at Venetia,"555 Northeast 15th Street, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'internet_access']"
Doughnut Break,"1653 North Miami Avenue, Miami, FL 33136, United States of America","['catering', 'catering.fast_food']"
Taula,"Northeast 17th Street, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mediterranean']"
Burger King,"Biscayne Boulevard, Miami, FL 33132, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Publix,"1776 Biscayne Boulevard, Miami, FL 33132, United States of America","['building', 'building.commercial', 'building.parking', 'commercial', 'commercial.supermarket', 'parking', 'parking.multistorey', 'wheelchair', 'wheelchair.yes']"
Pinolandia,"119 Southwest 12th Avenue, Miami, FL 33128, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.latin_american']"
Opera House,"1750 North Bayshore Drive, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'wheelchair', 'wheelchair.yes']"
Mignonette,"210 Northeast 18th Street, Miami, FL 33132, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.seafood', 'wheelchair', 'wheelchair.yes']"
Little Bread Cuban Sandwich Co.,"541 Southwest 12th Avenue, Miami, FL 33129, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.cuban']"
3 Chefs Chinese & Vietnamese Food,"1800 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.chinese', 'wheelchair', 'wheelchair.yes']"
Price Choice,"1851 Northeast 2nd Avenue, Miami, FL 33132, United States of America","['building', 'building.commercial', 'commercial', 'commercial.supermarket', 'wheelchair', 'wheelchair.yes']"
BIN 18,"1800 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'wheelchair', 'wheelchair.yes']"
Rakachaka Grill y Más,"1280 Southwest 1st Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.latin_american']"
The Daily Creative Food Co.,"2001 Biscayne Boulevard, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'wheelchair', 'wheelchair.yes']"
Parrot Jungle Trail,"Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Subway,"Northwest 14th Terrace, Miami, FL 33136, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
El Nuevo Siglo,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.international']"
McDonald's,"901 Northwest 17th Street, Miami, FL 33136, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.burger']"
Au Bon Pain,"1611 Northwest 12th Avenue, Miami, FL 33136, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Dunkin',"1611 Northwest 12th Avenue, Miami, FL 33136, United States of America","['catering', 'catering.fast_food']"
El Taquito,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mexican']"
McDonald's,"Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Old‘s Havana,"1440 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
FREEHOLD Miami,"2219 Northwest 2nd Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Azucar Ice Cream Company,"1503 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
The Salty Donut,"50 Northwest 23rd Street, Miami, FL 33127, United States of America","['catering', 'catering.fast_food']"
Chick-fil-A,"1410 Northwest North River Drive, Miami, FL 33125, United States of America","['catering', 'catering.fast_food']"
El Pub,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
Mad Butcher,"2300 Northwest 2nd Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Yambo,"Southwest 1st Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Domino's,"1575 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.pizza']"
Coyo Taco,"Northwest 2nd Avenue, Miami, FL 33136, United States of America","['catering', 'catering.restaurant', 'internet_access']"
305 Pizza,"151 Northwest 24th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
Subway,"2336 Biscayne Boulevard, Miami, FL 33137, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Subway,"1575 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Le Chick Miami,"310 Northwest 24th Street, Miami, FL 33127, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Le Chick Miami,"310 Northwest 24th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Wynwood Smoke and Lounge,"320 Northwest 24th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Manta Miami,"100 Northwest 25th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Edukos Gastro Tavern,"West Flagler Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant', 'internet_access']"
Fiesta Café Shop,"Southwest 1st Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.peruvian']"
DOYA,"Northwest 24th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Baccano,"97 Northwest 25th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
GK Bistronomie,"214 Northwest 25th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
El Atlacatl,"466 Southwest 17th Avenue, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Joey's Italian Cuisine,"2506 Northwest 2nd Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.italian']"
